axiom	refc	conf	expt	poss	nec	time
"SubClassOf(dbo:Award gml:_Feature)"	2337	4	0	1.0	0.058483010914059816	2347
"SubClassOf(dbo:Award owl:Thing)"	2337	2337	0	1.0	1.0	405
"SubClassOf(dbo:Award skos:Concept)"	2337	92	0	1.0	0.27781951173324515	423
"SubClassOf(dbo:Award foaf:Person)"	2337	1	0	1.0	0.029250896295614677	4931
"SubClassOf(schema:Product dbo:Agent)"	51303	8	41707	0.017648766194157006	0.0	2022296
"SubClassOf(schema:Product dbo:Aircraft)"	51303	9589	41707	0.017648766194157006	0.0	1081294
"SubClassOf(schema:Product dbo:Artist)"	51303	1	41708	0.01764505499320379	0.0	2339388
"SubClassOf(schema:Product dbo:Astronaut)"	51303	1	41708	0.01764505499320379	0.0	229953
"SubClassOf(schema:Product dbo:Automobile)"	51303	8661	42635	0.014376573661816994	0.0	989663
"SubClassOf(schema:Product dbo:Device)"	51303	4709	46594	0.004221429126169518	0.0	5292450
"SubClassOf(schema:Product dbo:Locomotive)"	51303	2781	48517	0.001475595237249272	0.0	435016
"SubClassOf(schema:Product dbo:MeanOfTransportation)"	51303	46594	4709	0.581489580282916	0.0	383456
"SubClassOf(schema:Product dbo:MusicalArtist)"	51303	1	41708	0.01764505499320379	0.0	2329011
"SubClassOf(schema:Product dbo:Person)"	51303	90	33047	0.06545563444764957	0.0	1818206
"SubClassOf(schema:Product dbo:Ship)"	51303	25556	25742	0.13295852602410674	0.0	867423
"SubClassOf(schema:Product dbo:SoccerClub)"	51303	1	42712	0.014120465513088987	0.0	2516695
"SubClassOf(schema:Product dbo:SportsTeam)"	51303	1	42712	0.014120465513088987	0.0	3655359
"SubClassOf(schema:Product dbo:Weapon)"	51303	4709	46594	0.004221429126169518	0.0	1241607
"SubClassOf(schema:Product schema:MusicGroup)"	51303	1	41708	0.01764505499320379	0.0	2339531
"SubClassOf(schema:Product schema:Person)"	51303	90	33047	0.06545563444764957	0.0	1826471
"SubClassOf(schema:Product schema:SportsTeam)"	51303	1	42712	0.014120465513088987	0.0	3657965
"SubClassOf(schema:Product gml:_Feature)"	51303	2806	0	1.0	0.3261867700187397	35948
"SubClassOf(schema:Product owl:Thing)"	51303	51293	0	1.0	0.9999999810030235	12977
"SubClassOf(schema:Product skos:Concept)"	51303	900	0	1.0	0.1864883816455052	12336
"SubClassOf(schema:Product foaf:Person)"	51303	92	7490	0.4797346096584304	0.0	431041
"SubClassOf(dbo:Eukaryote dbo:Agent)"	235699	6	204949	0.00854682202228163	0.0	22913844
"SubClassOf(dbo:Eukaryote dbo:Amphibian)"	235699	6894	211229	0.005403777598736226	0.0	3572979
"SubClassOf(dbo:Eukaryote dbo:Animal)"	235699	178286	55916	0.35332448902344793	0.0	5809145
"SubClassOf(dbo:Eukaryote dbo:Arachnid)"	235699	3109	215031	0.0038520214121041674	0.0	1846865
"SubClassOf(dbo:Eukaryote dbo:Artist)"	235699	1	234202	2.0169842408046534E-5	0.0	97406587
"SubClassOf(dbo:Eukaryote dbo:Athlete)"	235699	2	204957	0.008542356318185895	0.0	66528056
"SubClassOf(dbo:Eukaryote dbo:Bird)"	235699	12520	205603	0.008185650915123355	0.0	6233207
"SubClassOf(dbo:Eukaryote dbo:City)"	235699	1	218111	0.002788003200017375	0.0	43037664
"SubClassOf(dbo:Eukaryote dbo:ClubMoss)"	235699	89	193612	0.016071426542668132	0.0	133977
"SubClassOf(dbo:Eukaryote dbo:Company)"	235699	3	218107	0.0027892732567846856	0.0	46651772
"SubClassOf(dbo:Eukaryote dbo:Conifer)"	235699	720	192981	0.016561036043659993	0.0	623574
"SubClassOf(dbo:Eukaryote dbo:Country)"	235699	1	234201	2.0196798697802443E-5	0.0	8114284
"SubClassOf(dbo:Eukaryote dbo:Crustacean)"	235699	2374	215749	0.003588560483216874	0.0	1496626
"SubClassOf(dbo:Eukaryote dbo:CultivatedVariety)"	235699	1474	193459	0.016189451833974466	0.0	1340509
"SubClassOf(dbo:Eukaryote dbo:Cycad)"	235699	173	193528	0.016136169968022918	0.0	173593
"SubClassOf(dbo:Eukaryote dbo:Device)"	235699	1	218111	0.002788003200017375	0.0	12042981
"SubClassOf(dbo:Eukaryote dbo:Fern)"	235699	833	192868	0.016649510933431255	0.0	756553
"SubClassOf(dbo:Eukaryote dbo:Fish)"	235699	16033	202081	0.010224076592075138	0.0	7461263
"SubClassOf(dbo:Eukaryote dbo:FloweringPlant)"	235699	2596	191090	0.018073486880892164	0.0	2580722
"SubClassOf(dbo:Eukaryote dbo:Food)"	235699	1	218113	0.002787368280545266	0.0	10420059
"SubClassOf(dbo:Eukaryote dbo:Fungus)"	235699	8739	225465	9.430835856009123E-4	0.0	8254897
"SubClassOf(dbo:Eukaryote dbo:Ginkgo)"	235699	5	194942	0.01506407421840461	0.0	62465
"SubClassOf(dbo:Eukaryote dbo:Gnetophytes)"	235699	28	194919	0.01508121114309735	0.0	87820
"SubClassOf(dbo:Eukaryote dbo:Grape)"	235699	349	192428	0.016996318602376603	0.0	333830
"SubClassOf(dbo:Eukaryote dbo:GreenAlga)"	235699	356	193345	0.0162776799359029	0.0	346620
"SubClassOf(dbo:Eukaryote dbo:InformationAppliance)"	235699	1	218129	0.002782291538624637	0.0	1062782
"SubClassOf(dbo:Eukaryote dbo:Insect)"	235699	75420	142703	0.0811272748674744	0.0	9363811
"SubClassOf(dbo:Eukaryote dbo:Mammal)"	235699	13155	204957	0.008542356318185895	0.0	6620157
"SubClassOf(dbo:Eukaryote dbo:Mollusca)"	235699	27275	190848	0.018271942631174265	0.0	9991621
"SubClassOf(dbo:Eukaryote dbo:Moss)"	235699	384	193317	0.016299387584432834	0.0	346353
"SubClassOf(dbo:Eukaryote dbo:Organisation)"	235699	1	204953	0.008544589022474458	0.0	50273134
"SubClassOf(dbo:Eukaryote dbo:Person)"	235699	5	204952	0.008545147244721218	0.0	22795057
"SubClassOf(dbo:Eukaryote dbo:Place)"	235699	4	204948	0.008547380318408404	0.0	24138696
"SubClassOf(dbo:Eukaryote dbo:Plant)"	235699	47175	187028	0.021552644238188035	0.0	33356833
"SubClassOf(dbo:Eukaryote dbo:PopulatedPlace)"	235699	4	204948	0.008547380318408404	0.0	24077787
"SubClassOf(dbo:Eukaryote dbo:RaceHorse)"	235699	4448	204957	0.008542356318185895	0.0	2595225
"SubClassOf(dbo:Eukaryote dbo:RecordLabel)"	235699	3	204958	0.008541798188288374	0.0	8772545
"SubClassOf(dbo:Eukaryote dbo:Reptile)"	235699	5408	212715	0.004765866580511591	0.0	3143439
"SubClassOf(dbo:Eukaryote dbo:Settlement)"	235699	1	218106	0.0027895908163563243	0.0	360644236
"SubClassOf(dbo:Eukaryote dbo:SoccerPlayer)"	235699	2	205673	0.008147461128189759	0.0	44312145
"SubClassOf(dbo:Eukaryote dbo:Species)"	235699	235699	0	1.0	1.0	38830
"SubClassOf(dbo:Eukaryote schema:City)"	235699	1	218111	0.002788003200017375	0.0	42942333
"SubClassOf(dbo:Eukaryote schema:Country)"	235699	1	234201	2.0196798697802443E-5	0.0	8121011
"SubClassOf(dbo:Eukaryote schema:MusicGroup)"	235699	2	218109	0.0027886381920971814	0.0	22966771
"SubClassOf(dbo:Eukaryote schema:Organization)"	235699	1	204953	0.008544589022474458	0.0	49810278
"SubClassOf(dbo:Eukaryote schema:Person)"	235699	5	204952	0.008545147244721218	0.0	22810207
"SubClassOf(dbo:Eukaryote schema:Place)"	235699	4	204948	0.008547380318408404	0.0	24027222
"SubClassOf(dbo:Eukaryote gml:_Feature)"	235699	160	5698	0.7814470859543919	0.0	3177292
"SubClassOf(dbo:Eukaryote owl:Thing)"	235699	235698	0	1.0	0.9999999999909998	76571
"SubClassOf(dbo:Eukaryote skos:Concept)"	235699	4334	1858	0.8746854748779921	0.0	69383
"SubClassOf(dbo:Eukaryote foaf:Person)"	235699	20	146150	0.07498454855490688	0.0	17684437
"SubClassOf(schema:Book dbo:Book)"	28128	28128	0	1.0	1.0	9696
"SubClassOf(schema:Book dbo:Work)"	28128	28128	0	1.0	1.0	11243
"SubClassOf(schema:Book dbo:WrittenWork)"	28128	28128	0	1.0	1.0	10270
"SubClassOf(schema:Book <http://purl.org/ontology/bibo/Book)"	28128	28128	0	1.0	1.0	14008
"SubClassOf(schema:Book schema:CreativeWork)"	28128	28128	0	1.0	1.0	12574
"SubClassOf(schema:Book gml:_Feature)"	28128	11	0	1.0	0.027964010063132073	57970
"SubClassOf(schema:Book owl:Thing)"	28128	28128	0	1.0	1.0	14026
"SubClassOf(schema:Book skos:Concept)"	28128	41	0	1.0	0.05397332612845145	11987
"SubClassOf(schema:Book foaf:Person)"	28128	29	0	1.0	0.04539756944999298	1164996
"SubClassOf(dbo:Road dbo:ArchitecturalStructure)"	17890	17890	0	1.0	1.0	10792
"SubClassOf(dbo:Road dbo:Infrastructure)"	17890	17890	0	1.0	1.0	9329
"SubClassOf(dbo:Road dbo:Place)"	17890	17890	0	1.0	1.0	8662
"SubClassOf(dbo:Road dbo:PopulatedPlace)"	17890	2	0	1.0	0.014952461302950854	11039840
"SubClassOf(dbo:Road dbo:RouteOfTransportation)"	17890	17890	0	1.0	1.0	8007
"SubClassOf(dbo:Road dbo:Settlement)"	17890	2	0	1.0	0.014952461302950854	11068989
"SubClassOf(dbo:Road schema:Place)"	17890	17890	0	1.0	1.0	8955
"SubClassOf(dbo:Road gml:_Feature)"	17890	1576	0	1.0	0.4103989253565505	7252
"SubClassOf(dbo:Road owl:Thing)"	17890	17890	0	1.0	1.0	9429
"SubClassOf(dbo:Road skos:Concept)"	17890	43	0	1.0	0.0692919739270084	8958
"SubClassOf(dbo:Cyclist dbo:Agent)"	3855	3855	0	1.0	1.0	1034
"SubClassOf(dbo:Cyclist dbo:Athlete)"	3855	3855	0	1.0	1.0	1501
"SubClassOf(dbo:Cyclist dbo:Person)"	3855	3855	0	1.0	1.0	1410
"SubClassOf(dbo:Cyclist schema:Person)"	3855	3855	0	1.0	1.0	923
"SubClassOf(dbo:Cyclist gml:_Feature)"	3855	4	0	1.0	0.0455428406689589	6264
"SubClassOf(dbo:Cyclist owl:Thing)"	3855	3855	0	1.0	1.0	1744
"SubClassOf(dbo:Cyclist foaf:Person)"	3855	3855	0	1.0	1.0	846
"SubClassOf(dbo:Beverage dbo:Food)"	697	697	0	1.0	1.0	171
"SubClassOf(dbo:Beverage gml:_Feature)"	697	9	0	1.0	0.1601818714427123	996
"SubClassOf(dbo:Beverage owl:Thing)"	697	697	0	1.0	1.0	162
"SubClassOf(dbo:Beverage skos:Concept)"	697	5	0	1.0	0.11956480143472409	154
"SubClassOf(dbo:Beverage foaf:Person)"	697	1	0	1.0	0.05354794148212846	6247
