axiom,label
DisjointClasses(<http://dbpedia.org/ontology/Entomologist> <http://www.w3.org/2002/07/owl#Thing>),0.148768989
DisjointClasses(<http://dbpedia.org/ontology/Skater> <http://dbpedia.org/ontology/SportsLeague>),1
DisjointClasses(<http://dbpedia.org/ontology/ScreenWriter> <http://dbpedia.org/ontology/Agent>),0.051763804
DisjointClasses(<http://dbpedia.org/ontology/IceHockeyPlayer> <http://dbpedia.org/ontology/WinterSportPlayer>),0.10431678
DisjointClasses(<http://dbpedia.org/ontology/Instrumentalist> <http://dbpedia.org/ontology/Agent>),0.014705882
DisjointClasses(<http://dbpedia.org/ontology/Parliament> <http://dbpedia.org/ontology/Organisation>),0.709119497
DisjointClasses(<http://dbpedia.org/ontology/IceHockeyPlayer> <http://dbpedia.org/ontology/Athlete>),0.101071081
DisjointClasses(<http://dbpedia.org/ontology/Article> <http://dbpedia.org/ontology/Cartoon>),0.770907473
DisjointClasses(<http://dbpedia.org/ontology/FictionalCharacter> <http://dbpedia.org/ontology/Person>),0.161672177
DisjointClasses(<http://dbpedia.org/ontology/Vein> <http://dbpedia.org/ontology/AnatomicalStructure>),0.289156627
DisjointClasses(<http://dbpedia.org/ontology/VoiceActor> <http://dbpedia.org/ontology/Park>),1
DisjointClasses(<http://dbpedia.org/ontology/AdministrativeRegion> <http://dbpedia.org/ontology/Place>),0.063619692
DisjointClasses(<http://dbpedia.org/ontology/RoadJunction> <http://dbpedia.org/ontology/Airport>),0.999932291
DisjointClasses(<http://dbpedia.org/ontology/Magazine> <http://dbpedia.org/ontology/Congressman>),1
DisjointClasses(<http://dbpedia.org/ontology/Contest> <http://dbpedia.org/ontology/Lake>),1
DisjointClasses(<http://dbpedia.org/ontology/Band> <http://dbpedia.org/ontology/Reptile>),0.999820241
DisjointClasses(<http://dbpedia.org/ontology/MicroRegion> <http://dbpedia.org/ontology/PopulatedPlace>),0.484848485
DisjointClasses(<http://dbpedia.org/ontology/Town> <http://dbpedia.org/ontology/Place>),0.177989483
DisjointClasses(<http://dbpedia.org/ontology/Mollusca> <http://dbpedia.org/ontology/Boxing>),1
DisjointClasses(<http://dbpedia.org/ontology/Locality> <http://dbpedia.org/ontology/Place>),0.543133803
DisjointClasses(<http://dbpedia.org/ontology/Convention> <http://dbpedia.org/ontology/Saint>),1
DisjointClasses(<http://dbpedia.org/ontology/Poet> <http://dbpedia.org/ontology/Agent>),0.163617228
DisjointClasses(<http://dbpedia.org/ontology/Novel> <http://dbpedia.org/ontology/WrittenWork>),0.291772513
DisjointClasses(<http://dbpedia.org/ontology/Department> <http://dbpedia.org/ontology/HorseRace>),1
